Qn,Test,Qn_Text,Subspec,A,B,C,D,E,Ans,Pc_A,Pc_B,Pc_C,Pc_D,Pc_E,Explanation,GPT3_marking,GPT3_explain,Cat,Cat_Long,GPT3_ans_letter,GPT4_marking,GPT4_explain,GPT4_ans_letter,GPT35_marking,GPT35_ans_letter
14052,201667,"A 42-year-old lady undergoes an ultrasound scan for investigation of recurrent UTIs. This identifies a well-defined, heterogeneous but predominantly echogenic 5cm lesion superior to the right kidney. An MRI scan is performed which shows the lesion is arising from the adrenal gland. The lesion has hyperintense areas on T1 with signal drop-out on out-of-phase imaging. Areas of low T1 signal are also seen within the lesion. What is the most likely diagnosis? Select ONE answer only.","SBA: Genito urinary, Adrenal, Obstetrics & Gynaecology and Breast",Myelolipoma,Adrenal adenoma,Aldosterone secreting neuroendocrine tumour,Cortical carcinoma,Melanoma metastasis,A,65%,23%,6%,4%,2%,"Explanation:
Myelolipoma is a benign tumour with large areas of fat within. Only about ¼ have calcification. On MRI, myeloid is seen as focal areas of low T1 signal. The lesions are present with retroperitoneal haemorrhage. They are associated with endocrine disorders, but do not cause them, such as Cushings and Conn's.
With any lesion on an MRI scan the key to diagnosis lies in determining the tissue content. Try to decide if a lesion contains fat, fluid, blood or all three by going through the tissue types one by one.
Each different sequence helps to eliminate/rule-in the different tissue types.
Blood - high on T1 and does not suppress on T1 fat saturated sequences (e.g. the precontrast sequence)
Fluid - high on T2. Compare with known fluid filled organs such as the bladder for pelvic scans and the gallbladder for upper abdominal scans. If the target lesion is fluid, it should not just be slightly high on T2 but should be as high as these reference organs.
Fat - high on T1 and does suppress on fat saturated sequences (macroscopic fat), or demonstrates chemical shift artefact on out of phase images (microscopic fat).
    Best sequence Other points
Blood T1 fat sat T2 shading sign (endometriomas)
Fluid T2 Compare to reference organs
Fat T1 fat sat Also in/out of phase",FALSE,"I chose number 2, Adrenal Adenoma, as the most likely diagnosis because it is the most common type of adrenal tumor. Adrenal adenomas are typically benign, well-defined, heterogeneous lesions that are predominantly echogenic on ultrasound and have hyperintense areas on T1 with signal drop-out on out-of-phase imaging. They also typically have areas of low T1 signal within the lesion. These features are consistent with the findings of the ultrasound and MRI scans described in the question.",2,,B,TRUE,"I chose option 2, Myelolipoma, because the description of the lesion in the question is consistent with the characteristics of a myelolipoma. Myelolipomas are benign adrenal tumors that are predominantly composed of fat and bone marrow elements. 

The ultrasound scan showed a well-defined, heterogeneous but predominantly echogenic lesion, which suggests the presence of fat within the lesion. The MRI findings further support this diagnosis, as the lesion has hyperintense areas on T1-weighted imaging (indicative of fat content) and signal drop-out on out-of-phase imaging (which is a feature of fat-containing lesions). Additionally, areas of low T1 signal within the lesion could represent the bone marrow elements of a myelolipoma.

The other options are less likely based on the imaging findings described:

1. Adrenal adenomas typically have a more homogeneous appearance and do not usually have the fat content seen in this case.
3. Aldosterone-secreting neuroendocrine tumors are typically smaller and do not have the same imaging characteristics as described in the question.
4. Cortical carcinomas are usually larger, more aggressive, and have different imaging features than those described.
5. Melanoma metastasis would not typically present with the fat content and imaging characteristics described in this case.",A,FALSE,FALSE
14930,201667,"A 51-year-old lady is screened for breast cancer as part of the NHS breast screening service. A lesion is seen, and the patient is recalled for further magnified views. Which of the following regarding mammography is correct?","SBA: Genito urinary, Adrenal, Obstetrics & Gynaecology and Breast",A rolled CC view is useful for separating summation shadows,An MLO is useful for investigating teacup calcifications,A rolled CC is one of the basic screening views,A true lateral is one of the basic screening views,An oblique lateral is the same as a rolled CC view,A,84%,7%,4%,2%,3%,"Explanation:
MLO and CC are the standard views performed at screening.
If further view are required these are usually decided on a case-by-case basis.
  A true lateral view can help demonstrate suspected teacup calcifications are teacup calcifications. Compression views are used to interrogate suspicious calcifications seen on mammograms further.
A rolled CC view can help separate out structures to prove that the 'mass' seen on the original mammogram was a summation shadow, or to confirm the presence of a mass.
  Teacup calcifications
Teacup calcifications are caused by liquid milk of calcium within fibrocystic change. On mammography they appear as small curvilinear thin calcifications resembling the fluid level in a teacup on lateral views and rounded on a craniocaudal view, like a teacup viewed from above. Although teacup calcifications are typically benign in nature and suggestive of only fibrocystic changes they must be distinguished from suspicious calcifications. Thus, the best views for confirming the presence of teacup calcifications would be a true lateral, as opposed to an oblique lateral, and a CC view.",FALSE,"I chose this answer because a rolled CC view is one of the basic screening views used in mammography. It is a two-view mammogram which involves taking two images of each breast, one from the top and one from the side. The rolled CC view is used to evaluate the entire breast, including the upper outer quadrant which is often difficult to image with the standard CC view. This view helps to identify any suspicious lesions or calcifications that may be present in this area.",1,"3. A question about the application of knowledge, what is the best course of action?

This question falls under option 3: A question about the application of knowledge, what is the best course of action.",C,TRUE,"I chose option 3 because a rolled CC (craniocaudal) view is useful for separating summation shadows in mammography. Summation shadows occur when normal breast tissue overlaps, creating the appearance of a mass or lesion. By performing a rolled CC view, the radiologist can reposition the breast tissue, helping to separate these overlapping structures and determine if the observed abnormality is a true lesion or just a summation artifact. This technique aids in providing a more accurate diagnosis.",A,TRUE,A
10586,201667,A patient with a known history of von Recklinghausen disease (NF1) is being investigated for hypertension. Which of the following is the most likely explanation?,SBA: Cardiothoracic and vascular,Renal artery stenosis,Atherosclerosis,Renal AVMs,Renal glomerular basement membrane pathology,Nephritic syndrome,A,77%,3%,12%,5%,3%,"Explanation:
Renal artery stenosis is known to be associated with Neurofibromatosis type 1, also known as von Recklinghausen disease.
There are three main aetiologies of renal artery stenosis. The most prevalent is atherosclerosis. Fibromuscular dysplasia is the second most common and is classically given as affecting a relatively young woman with beading (string of beads) of the mid and distal renal arteries seen, for which the management is angioplasty. Finally a small number of cases are secondary to a variety of conditions such as Buerger disease, Takayasu disease and neurofibromatosis.
The significance of diagnosis of atherosclerotic renal artery stenosis is in avoiding the use of ACE inhibitors. The ASTRAL trial showed that there was no long term benefit of stenting the stenoses over best medical management, although there was still a reduction in the number of episodes of flash pulmonary oedema experienced by the patients.",FALSE,"Renal arteriovenous malformations (AVMs) are a known complication of von Recklinghausen disease (NF1). They are caused by an abnormal connection between the arteries and veins of the kidneys, which can lead to hypertension. This is the most likely explanation for the patient’s hypertension in this case.",2,"This question would fall under the category of clinical judgement, what is the correct diagnosis?",D,TRUE,"I chose option 2, Renal artery stenosis, because von Recklinghausen disease, also known as Neurofibromatosis type 1 (NF1), is a genetic disorder that affects the growth and development of nerve cell tissues. This can lead to the formation of benign tumors called neurofibromas, which can occur anywhere in the body, including the renal arteries.

Renal artery stenosis is a narrowing of the renal arteries, which supply blood to the kidneys. In patients with NF1, neurofibromas or other vascular abnormalities can cause compression or narrowing of the renal arteries, leading to renal artery stenosis. This can result in reduced blood flow to the kidneys, which in turn can cause hypertension (high blood pressure) as the kidneys release hormones to increase blood pressure in response to the decreased blood flow.

The other options are less likely to be associated with NF1 and hypertension:

1. Atherosclerosis: While it can cause hypertension, it is not specifically associated with NF1.
3. Renal AVMs: Arteriovenous malformations are rare in NF1 and not a common cause of hypertension in these patients.
4. Renal glomerular basement membrane pathology: This is more commonly associated with other renal diseases, not specifically with NF1.
5. Nephritic syndrome: This refers to a group of symptoms related to kidney inflammation and damage, which is not specifically associated with NF1.",A,FALSE,B
14381,201667,You are reviewing a trauma CT scan of a 16-year-old boy who was involved in a coach crash. He is intubated and ventilated and nothing is known about his past medical history. As well as multiple thoracic abnormalities you also notice that the pancreas is absent. What is the most likely diagnosis? Select ONE answer only.,SBA: Paediatrics,Cystic fibrosis,Type 1 diabetes,Type 2 diabetes,Traumatic amputation,Diabetes insipidus,A,88%,7%,1%,4%,1%,"Explanation:
Cystic fibrosis
An absent finding such as asplenia can be harder to detect than the presence of an abnormality. In cystic fibrosis the pancreatic parenchyma becomes entirely replaced by fatty infiltration to such an extent that it blends almost imperceptibly with the intra-abdominal fat and appears completely absent. Patients suffer from pancreatic failure and require high dose enzyme replacement.
  Distal Intestinal Obstruction Syndrome (DIOS)
The description of a bubbly area on an abdominal radiograph is more usually linked to meconium ileus. DIOS is also referred to as a meconium ileus equivalent as these two conditions are similar. In patients with cystic fibrosis the thicker-than-normal intestinal mucus, increase in transit time and pancreatic insufficiency all conspire to cause faecal impaction. This often occurs in early adolescence when parental control wears thin and concordance with medical management (in particular pancreatic enzyme replacement) of their cystic fibrosis can become an issue. Patients develop colicky right lower quadrant pain and tenderness when faecal matter obstructs around the terminal ileum. On x-ray this can sometimes be seen as a bubbly area close to where the caecum might be expected to be.",FALSE,"The most likely diagnosis in this case is traumatic amputation. This is because the absence of the pancreas on the CT scan is most likely due to the trauma from the coach crash, which could have caused the pancreas to be completely or partially removed. Type 1 and type 2 diabetes, diabetes insipidus, and cystic fibrosis are all conditions that can affect the pancreas, but in this case, the absence of the pancreas is most likely due to the trauma of the crash.",2,,D,TRUE,"I chose option 2, Cystic fibrosis, because it is a genetic disorder that can cause the pancreas to be underdeveloped or absent. In this case, the absence of the pancreas is not likely due to the trauma from the coach crash, as traumatic amputation would not affect the pancreas. Type 1 and Type 2 diabetes are related to insulin production and resistance, respectively, but do not cause the pancreas to be absent. Diabetes insipidus is related to the regulation of water balance in the body and is not associated with the pancreas. Therefore, Cystic fibrosis is the most likely diagnosis given the information provided.",A,TRUE,A
14407,201667,You are reviewing an MRI scan of a 45-year-old woman who recently underwent a successful uterine artery embolisation for management of menorrhagia. Which of the following is a complication of this procedure? Select ONE answer only.,SBA: Cardiothoracic and vascular,Ovarian dysfunction,Meig syndrome,Dermoid formation,Asherman syndrome,Endometrioma,A,85%,3%,1%,10%,2%,"Explanation:
Asherman syndrome
Historically this condition was the result of infection with tuberculosis but nowadays it is more often the consequence of iatrogenic endometrial damage. The formation of intrauterine synechiae leads to subfertility and these fibrous bands can be seen on HSG as filling defects and surface irregularity. Asherman syndrome should not occur following uterine artery embolisation.
In the world of interventional radiology, uterine fibroid embolisation is gaining momentum. The uterine artery arises from the internal iliac artery whereas the ovarian artery arises directly from the aorta and its branches have a corkscrew appearance on angiography. Anastomoses between the two arteries or the two sides exist in approximately 20% of patients. Patients should be counselled for the risk of ovarian dysfunction subsequent to the procedure and patients over the age of 45 are at particular risk. Pedunculated fibroids are said to be poor candidates for embolisation owing to their propensity to detach however the literature is slightly contradictory on this topic.
Following a successful embolisation the fibroid should undergo infarction and involution. On an MRI scan there will be high T1 signal with low T2 signal and no enhancement of the infarcted tissue post-contrast.
Complications include:
Infections (Endometritis, PID and TOA)
DVT / PE - due to compression of pelvic veins by enlarged uterus (therefore a complication of the underlying pathology as opposed to the procedure itself)
Ovarian dysfunction - increased risk >45years due to greater propensity for uterine-ovarian artery anastomoses. Careful examination of pre-procedure MR angiography images helps reduce this risk
Fibroid passage
Haemorrhage
Uterine necrosis - look for lack of endometrial enhancement
  Meig syndrome
This is a triad of an ovarian fibroma (usually, other ovarian tumours do cause it too), ascites and pleural effusions. A right sided pleural effusion is more common than the left. The underlying mechanism is unclear. Two possible explanations are that either the tumour irritates the peritoneum leading to a build-up of inflammatory fluid, or that histamine release alongside other chemicals and hormones causes vasodilation and fluid exudation that way.",FALSE,"Asherman syndrome is a known complication of uterine artery embolisation, which is a procedure used to treat menorrhagia. This syndrome is caused by the formation of intrauterine adhesions, which can lead to infertility, menstrual irregularities, and pain.",1,"3. A question about a clinical scenario, what is the best treatment?

1. Basic factual recall",D,TRUE,"I chose option 3, ovarian dysfunction, because uterine artery embolization (UAE) is a procedure that involves blocking the blood supply to the uterus, which can potentially affect the blood supply to the ovaries as well. This reduced blood flow to the ovaries can lead to ovarian dysfunction, which may manifest as hormonal imbalances, changes in menstrual cycle, or even early menopause in some cases. While the other options listed are related to gynecological conditions or complications, they are not specifically associated with the uterine artery embolization procedure.",A,FALSE,E
14093,201667,"A 34-year-old woman is involved in a road traffic accident. She is brought in by ambulance and is complaining of severe abdominal and loin pain. A CT scan is performed, which shows that she has damaged an organ that lies in the retroperitoneal space. Which of the following structures lies within the retroperitoneal space? Select ONE answer only.",SBA: Gastrointestinal,The ascending colon,The stomach,The transverse colon,The caecum,The tail of the pancreas,A,74%,1%,6%,4%,15%,"Explanation:
The mnemonic SAD PUCKER can be used to remember which organs are retroperitoneal:
S = Suprarenal (adrenal) glands
A = Aorta and inferior vena cava
D = Duodenum (apart from the first segment)
P = Pancreas (apart from the tail)
U = Ureters
C = Colon (ascending and descending parts)
K = Kidneys
E = (O)esophagus
R = Rectum
  The transverse colon, sigmoid colon and caecum all lie in the intraperitoneal space. The stomach is also an intraperitoneal organ.
    The relations of the kidneys and the great vessels of the abdomen showing some of the retroperitoneal organs (from Gray’s Anatomy)
 ",FALSE,"The tail of the pancreas is located within the retroperitoneal space, which is the area behind the peritoneum. This area contains many important organs and structures, including the kidneys, adrenal glands, ureters, aorta, and the tail of the pancreas. The other four choices listed are all located in the abdominal cavity, which is in front of the peritoneum.",1,"3. A question about the application of knowledge, how do you apply the knowledge?

1. Basic factual recall, either of basic science, physics, anatomy or regarding a procedure.",E,TRUE,"I chose option 1, the ascending colon, because it is one of the structures that lies within the retroperitoneal space. The retroperitoneal space is the anatomical space in the abdominal cavity behind (retro) the peritoneum, which is the membrane that lines the abdominal cavity. The ascending colon is a part of the large intestine that travels upward from the cecum to the transverse colon, and it is positioned against the posterior abdominal wall, making it a retroperitoneal structure.",A,FALSE,D
14155,201667,You are reviewing the images of a 78-year-old man. 2-years-ago he was diagnosed with bladder cancer but following resection and intravesical BCG therapy his recent scans have been clear. Of late he has been experiencing nocturia and wishes to undergo a TURP procedure. His pre-op MRI scan shows an enlarged prostate gland with diffusely low T2 signal affecting the whole gland. What is the most likely diagnosis? Select ONE answer only.,"SBA: Genito urinary, Adrenal, Obstetrics & Gynaecology and Breast",PI-RADS 5/5 prostate adenocarcinoma,Pi-RADS 5/5 prostate squamous cell carcinoma,Granulomatous prostatitis,Prostate abscess,Sarcoidosis,A,16%,2%,79%,1%,2%,"Explanation:
Even with a history of intravesical BCG therapy, prostate adenocarcinoma is more likely than granulomatous prostatitis. Biopsy confirmation is essential.
  Prostate cancer
The vast majority of cancers of the prostate are adenocarcinomas and the risk of developing prostate cancer increases with age to such an extent that by the age of 80 approximately 80% of men will have some neoplastic foci within the prostate although these may be completely occult and never manifest clinically.  Where the disease does advance it becomes one of the top three most common causes of death from cancer in men alongside lung cancer and colorectal cancer. Serum Prostatic Specific Antigen (PSA) levels have been used in prostate cancer screening since the 1990s.
  Gleason score - This is formed by identifying the most common cell morphology and second most common cell morphology. The different morphologies are compared to a five-point graded system and the two grades added together to give the final score (i.e. 4+2, 5+3 etc.). If there is only one cell morphology the score can be e.g. 3+3. Prostate cancer is defined by a minimum total grading of 6 (usually 3+3).
            MRI is crucial to provide accurate staging but is also gaining in momentum on its way to becoming a screening tool in its own right.
  The majority of prostate cancers arise from the peripheral zone and causes the normally high T2 signal to become low signal. Additionally the cancer should show restriction in diffusion (ie high signal on DWI, correspondingly low on ADC). It is important to view the T1 images as well in order to exclude the possibility of haemorrhage which can sometimes look like a prostate cancer on the T2 weighted images.
  Granulomatous prostatitis
This is an unusual condition which is said to develop following intravesical BCG therapy for bladder cancer. Other possible causes are sarcoidosis or tuberculous prostatitis. Aside from these, more recently purely idiopathic cases have also been noted. In these cases a recent UTI or urethral instrumentation have been implicated. The imaging appearances are reminiscent of a PI-RADS 5/5 prostate cancer and the diagnosis should always be made histologically. Whatever the aetiology, the patient followed up to resolution of imaging abnormalities to ensure a prostate cancer has not been masked.
Squamous cell carcinoma of the prostate accounts for very few prostate cancers. The majority are adenocarcinoma or transitional cell carcinoma.",FALSE,"The most likely diagnosis based on the pre-op MRI scan is granulomatous prostatitis. This is because the MRI scan shows an enlarged prostate gland with diffusely low T2 signal, which is a sign of inflammation. Granulomatous prostatitis is an inflammatory condition of the prostate gland that is often associated with nocturia, which the patient is experiencing. Furthermore, the patient has already undergone resection and intravesical BCG therapy for bladder cancer, which could have caused the inflammation in the prostate gland.",2,,C,FALSE,"I chose granulomatous prostatitis as the most likely diagnosis for the following reasons:

1. The patient has a history of bladder cancer and has undergone intravesical BCG therapy. BCG is a live, attenuated strain of Mycobacterium bovis that is used as an immunotherapy for bladder cancer. A known complication of this therapy is granulomatous prostatitis, which is an inflammatory condition of the prostate.

2. The MRI findings of an enlarged prostate gland with diffusely low T2 signal affecting the whole gland are consistent with granulomatous prostatitis. Inflammatory conditions, such as granulomatous prostatitis, can cause low T2 signal intensity due to increased cellularity and fibrosis.

3. While prostate adenocarcinoma and squamous cell carcinoma can also present with low T2 signal intensity, the patient's history of intravesical BCG therapy and the diffuse involvement of the entire prostate gland make granulomatous prostatitis a more likely diagnosis.

4. Prostate abscess and sarcoidosis are less likely given the patient's history and MRI findings. Prostate abscesses typically present with focal areas of low T2 signal intensity and peripheral enhancement, while sarcoidosis is a systemic disease that would likely have other manifestations beyond the prostate.

In summary, the patient's history of intravesical BCG therapy, the MRI findings of an enlarged prostate with diffusely low T2 signal intensity, and the clinical presentation make granulomatous prostatitis the most likely diagnosis.",C,TRUE,A
14294,201667,You are reviewing the MRI scan of a 37-year-old lady who has a constellation of symptoms for which she is under review by neurology. Recently she has noticed a deterioration in her vision. Which of the following is NOT a cause of optic atrophy? Select ONE answer only.,SBA: Central Nervous and Head & Neck,Myasthenia gravis,Neuromyeltitis optica,Neuritis,Multiple sclerosis,Chronic glaucoma,A,74%,3%,6%,6%,12%,"Explanation:
Optic atrophy is difficult to pick up on an MRI scan unless you are specifically looking for it. On a T2 weighted coronal sequence (particularly a CISS, heavily T2 weighted sequence) scrolling through the optic nerves you may be able to appreciate that there is too much CSF surrounding the optic nerve, particularly if it is a unilateral finding.
Myasthenia Gravis is a muscular condition where there is increased fatiguability of all muscles. The effect can be seen with the ocular muscles particularly well. The optic nerves are unaffected.
Glaucoma occurs when the pressures within the eye are greater than normal. This increased pressure damages the optic nerve and, without treatment, can lead to irreversible optic neuropathy and thereafter optic atrophy.
Optic neuritis is inflammation of the optic nerve and can occur in the context of multiple sclerosis, or in isolation. Like glaucoma, it can progress to neuropathy and atrophy.
Neuromyelitis optica is a specific condition, with similarities to multiple sclerosis, where there is optic neuritis. Usually patients have enlarged optic nerves, but chronic damage leads to optic atrophy.",TRUE,"Myasthenia gravis is a neuromuscular disorder that causes muscle weakness, but it does not cause optic atrophy. Optic atrophy is a condition that occurs when the optic nerve is damaged, and it can be caused by Neuromyelitis optica, Neuritis, Multiple Sclerosis, and Chronic Glaucoma.",1,This question falls under basic factual recall.,E,TRUE,"I chose Myasthenia gravis as the answer because it is not a cause of optic atrophy. Myasthenia gravis is an autoimmune disorder that affects the neuromuscular junction, leading to muscle weakness and fatigue. It primarily affects the voluntary muscles, including those that control eye movement and eyelid function. However, it does not cause optic atrophy, which is the damage and degeneration of the optic nerve.

The other options listed, such as Neuromyelitis optica, Neuritis, Multiple sclerosis, and Chronic glaucoma, are all conditions that can cause optic atrophy due to their direct or indirect impact on the optic nerve.",A,FALSE,E
14558,201667,"You are reviewing the x-rays of a 38-year-old man. His skull x-ray shows the paranasal sinuses to be enlarged, as is the sella. There is hyperostosis to the inner table of the skull. He has also had other x-rays taken. Which of the following would fit with a diagnosis of acromegaly? Select ONE answer only.",SBA: Musculoskeletal and Trauma,Posterior vertebral scalloping,Rheumatoid arthritis,Hook-like osteophytes on the second and third metacarpal heads,Subperiosteal bone resoprtion,Rugger jersey spine,A,84%,1%,6%,5%,4%,"Explanation:
Acromegaly
Excess circulating growth hormone can be caused either by a pituitary adenoma (>90%) or hyperplasia of the anterior pituitary. If this occurs prior to skeletal maturation it leads to gigantism in children. Thereafter there are a number of skeletal manifestations. Some of the most widely known are prognathism and spade-like hands.
Famously, the actor Richard Kiel who played Jaws in the James Bond films ‘Moonraker’ and ‘The Spy Who Loved Me’ had acromegaly.
Other important characteristics to look for are as follows:
Enlargement of the paranasal sinuses – 75%
Posterior vertebral scalloping – 30%
Widening of the terminal tufts
Heel pad thickness >25mm
Premature osteoarthritis
Enlargement and erosion of the sella
Hyperostosis of the inner table of the skull",FALSE,"I chose this answer because hook-like osteophytes are a common symptom of acromegaly, which is characterized by an enlargement of the sella and paranasal sinuses. Hook-like osteophytes are bony projections that form on the second and third metacarpal heads, which are located on the hands. This symptom is often seen in people with acromegaly and is a result of the excess growth hormone production.",2,,C,TRUE,"I chose option 2, ""Posterior vertebral scalloping,"" because it is a radiographic finding associated with acromegaly. Acromegaly is a hormonal disorder that occurs when the pituitary gland produces excess growth hormone, leading to an increase in bone and soft tissue growth. This can result in various skeletal abnormalities, including posterior vertebral scalloping, which refers to the concave appearance of the posterior aspect of the vertebral bodies. This scalloping is caused by the pressure from the enlarged soft tissues and ligaments on the vertebrae, leading to bone remodeling and the characteristic appearance on x-ray. The other options listed are not typically associated with acromegaly.",A,FALSE,B
12576,201667,A 45-year-old man from Mexico is brought in by his wife who says he is not himself. He is found to have focal neurology and undergoes imaging. There are tiny calcified structures in the soft tissues surrounding his hip and on MRI scanning of his head oedema surrounding a focal lesion can be seen. What is the most likely diagnosis?,SBA: Central Nervous and Head & Neck,Neurocysticercosis,Metastatic osteosarcoma,Metastatic chondroblastoma,Cryptococcus,Cytomegalovirus,A,86%,7%,4%,2%,1%,"Explanation:
Neurocysticercosis
Cysticercosis is caused by a tapeworm native to low income countries and carried by pigs. Cysts calcify over time. In the skeletal muscle these can be seen on plain radiographs as ‘rice grain’ calcifications. CNS infection with cysticercosis is termed neurocysticercosis and is well described in the literature.
  Cytomegalovirus – this is a neonatal infection or one of the immunocompromised. Periventricular cysts and calcifications develop.
  Cryptococcus
This is an opportunistic yeast-like fungus which therefore requires a degree of immunocompromise, typically AIDS. The cryptococcomas are non-enhancing low density lesions in the basal ganglia. A granulomatous meningitis can also occur. They can be differentiated from VR spaces on FLAIR where VR spaces will suppress (being CSF in content) whereas the mucoid cryptococcomas will not.
  Metastatic chondrosarcoma or osteosarcoma – Metastases from osteosarcomas can show calcification (this can present as a pneumothorax secondary to lung metastases). Chondrosarcomas are cartilaginous forming tumours although rings and arcs of calcification are a feature.",TRUE,Neurocysticercosis is the most likely diagnosis because it is the most common cause of focal neurologic deficits in patients from Mexico. The calcified structures in the soft tissues surrounding the hip and the oedema surrounding the focal lesion on MRI are both signs of neurocysticercosis.,2,,A,TRUE,"I chose option 1, Neurocysticercosis, because the patient's presentation and imaging findings are consistent with this diagnosis. Neurocysticercosis is a parasitic infection of the central nervous system caused by the larval stage of the pork tapeworm, Taenia solium. It is more common in areas with poor sanitation and in people who have traveled to or are from endemic regions, such as Mexico.

The patient's focal neurology and the presence of edema surrounding a focal lesion on MRI scanning of his head suggest an intracranial process. The tiny calcified structures in the soft tissues surrounding his hip also point towards a systemic parasitic infection. These calcifications are often seen in cysticercosis, as the larvae form cysts in various tissues, which can later calcify.

The other options are less likely based on the provided information:
2. Metastatic osteosarcoma: This is a type of bone cancer that typically affects younger individuals and would not typically present with focal neurology and calcified structures in soft tissues.
3. Metastatic chondroblastoma: This is a rare benign bone tumor, and the presentation does not match the patient's symptoms and findings.
4. Cryptococcus: This is a fungal infection that can affect the central nervous system, but it does not typically cause calcified structures in soft tissues.
5. Cytomegalovirus: This is a viral infection that can cause various symptoms, but the imaging findings and presentation do not align with a CMV infection.",A,TRUE,A
